dep,arr,dep_country,arr_country,dep_continent,arr_continent,flights,cycles,block_h,median_block_h,gc_km,night_share,inferred_share,suspect_share,first_seen,last_seen,callsigns,aircraft,suggested,segment
YHM,YMX,CA,CA,NA,NA,44,44,48.85,1.09,544.4,0.977,0.0,0.023,2025-04-02T03:04:09Z,2026-09-10T03:03:50Z,CJT1911 CJT2001 CJT485 CJT584 CJT626,23,domestic,domestic
CVG,CVG,US,US,NA,NA,8,15,44.08,6.23,0.0,0.25,0.0,0.0,2025-04-05T12:44:43Z,2026-08-15T12:04:30Z,CJT1919 CJT1920 CJT917 CJT919 CJT920,7,?,charter
NRT,NRT,JP,JP,AS,AS,17,34,43.04,2.53,0.0,0.118,0.0,0.0,2025-04-02T13:47:30Z,2025-09-11T13:57:54Z,CJT1801 CJT1802 CJT1807 CJT1808 CJT1809,9,?,charter
SJO,MIA,CR,US,NA,NA,9,9,40.83,4.88,1805.0,0.0,0.0,0.444,2025-04-03T18:51:25Z,2026-09-03T20:36:56Z,CJT5236,6,acmi,acmi
MIA,SJO,US,CR,NA,NA,15,15,40.17,2.67,1805.0,0.0,0.0,0.0,2025-04-03T14:47:49Z,2026-09-10T14:31:31Z,CJT5231,8,acmi,acmi
YOW,YHM,CA,CA,NA,NA,37,37,39.54,1.07,415.1,0.946,0.0,0.054,2025-04-02T00:07:59Z,2026-09-10T00:17:23Z,00000000 CJT1573 CJT1574 CJT470,22,domestic,domestic
YHM,YOW,CA,CA,NA,NA,38,38,38.2,1.01,415.1,0.789,0.0,0.0,2025-04-02T10:40:56Z,2026-09-10T10:43:13Z,CJT1571 CJT1574 CJT9001,23,domestic,domestic
MCO,MIA,US,US,NA,NA,37,37,36.08,0.95,309.7,0.108,0.0,0.0,2025-04-02T13:40:06Z,2026-09-10T14:26:23Z,CSB925,3,?,charter
YYC,YEG,CA,CA,NA,NA,42,42,35.66,0.86,245.4,0.0,0.0,0.0,2025-04-02T16:24:07Z,2026-09-10T15:31:27Z,CJT918,21,domestic,domestic
YMX,YQM,CA,CA,NA,NA,28,28,35.3,1.26,725.6,1.0,0.0,0.036,2025-04-04T05:11:59Z,2026-09-10T05:14:18Z,CJT2001 CJT485 CJT624 CJT626 CJTT626,17,domestic,domestic
YHM,YHZ,CA,CA,NA,NA,18,18,34.99,1.94,1324.2,1.0,0.0,0.0,2025-04-02T05:43:46Z,2026-04-17T06:09:32Z,CJT566 CJT575 CJT622,8,domestic,domestic
MIA,MCO,US,US,NA,NA,37,37,33.57,0.88,309.7,1.0,0.0,0.0,2025-04-02T00:48:41Z,2026-09-03T00:16:59Z,CSB926,3,?,charter
MIA,SJU,US,PR,NA,NA,13,13,33.01,2.31,1682.1,0.923,0.0,0.077,2026-04-01T02:25:57Z,2026-09-10T10:31:14Z,CJT244 CSB231,1,acmi,acmi
CVG,SFO,US,US,NA,NA,7,7,31.82,4.58,3269.1,0.857,0.0,0.0,2026-07-29T10:43:54Z,2026-09-10T10:48:38Z,CSB805,1,?,charter
YQM,YYT,CA,CA,NA,NA,19,19,31.77,1.5,921.0,0.947,0.0,0.105,2026-04-01T19:56:07Z,2026-08-21T07:41:09Z,CJT620 CJT628,13,domestic,domestic
YMX,YHZ,CA,CA,NA,NA,13,13,31.73,2.69,828.1,0.846,0.0,0.538,2025-04-02T05:11:07Z,2026-08-15T18:27:55Z,CJT1893 CJT584 CJT619 CJT624 CJT626,9,domestic,domestic
