"Date","Price","Open","High","Low","Vol.","Change %"
"09/23/2025","95.61","99.20","99.20","95.25","204.80K","-3.55%"
"09/22/2025","99.13","97.80","99.80","97.41","49.36K","0.46%"
"09/19/2025","98.68","98.76","98.98","97.56","136.94K","-0.02%"
"09/18/2025","98.70","99.78","100.64","98.48","52.89K","-0.56%"
"09/17/2025","99.26","99.50","100.94","98.84","44.95K","-0.13%"
"09/16/2025","99.39","98.90","99.60","98.49","42.24K","0.13%"
"09/15/2025","99.26","98.15","99.26","97.55","62.69K","1.19%"
"09/12/2025","98.09","99.53","99.53","97.50","48.67K","-0.56%"
"09/11/2025","98.64","99.55","100.29","98.27","128.30K","-1.27%"
"09/10/2025","99.91","100.40","100.93","99.53","47.74K","-0.68%"
"09/09/2025","100.59","102.20","102.84","100.36","58.42K","-1.55%"
"09/08/2025","102.17","102.76","103.47","101.36","39.42K","-0.84%"
"09/05/2025","103.04","100.70","104.49","100.48","148.16K","3.42%"
"09/04/2025","99.63","100.16","100.16","99.01","62.50K","-0.02%"
"09/03/2025","99.65","100.53","100.97","99.50","31.31K","-0.88%"
"09/02/2025","100.53","100.24","100.99","99.61","21.45K","-0.31%"
"08/29/2025","100.84","101.28","102.00","100.28","45.32K","-0.49%"
"08/28/2025","101.34","100.42","101.59","99.60","43.40K","1.03%"
"08/27/2025","100.31","100.16","100.94","99.88","55.37K","-0.64%"
"08/26/2025","100.96","100.61","101.28","100.16","39.35K","0.38%"
"08/25/2025","100.58","102.30","102.30","100.30","54.01K","-1.79%"
"08/22/2025","102.41","102.36","104.24","101.73","72.46K","0.11%"
"08/21/2025","102.30","102.00","102.94","101.31","44.64K","-0.28%"
"08/20/2025","102.59","103.69","103.75","102.53","66.53K","-1.07%"
"08/19/2025","103.70","102.90","104.31","102.90","20.49K","0.58%"
"08/18/2025","103.10","102.85","103.51","102.55","23.61K","0.38%"
"08/15/2025","102.71","104.07","104.60","102.33","28.56K","-1.25%"
"08/14/2025","104.01","103.89","104.36","102.16","30.11K","-0.93%"
"08/13/2025","104.99","103.30","105.26","103.30","63.67K","1.70%"
"08/12/2025","103.23","100.50","103.55","100.49","97.18K","2.78%"
"08/11/2025","100.44","103.05","103.07","99.43","71.20K","-1.54%"
"08/08/2025","102.01","99.07","103.89","98.93","103.47K","3.41%"
"08/07/2025","98.65","99.75","99.75","93.02","101.41K","-0.07%"
"08/06/2025","98.72","97.92","98.88","97.60","35.71K","0.82%"
"08/05/2025","97.92","96.70","98.85","96.70","51.33K","1.26%"
"08/01/2025","96.70","97.47","97.50","95.83","44.48K","-2.25%"
"07/31/2025","98.93","99.52","100.60","98.49","65.95K","-1.18%"
"07/30/2025","100.11","101.39","102.00","99.47","59.02K","-1.27%"
"07/29/2025","101.40","102.66","104.30","100.20","75.65K","-1.83%"
"07/28/2025","103.29","102.94","104.55","102.00","40.84K","0.34%"
"07/25/2025","102.94","100.73","103.02","99.92","54.74K","2.46%"
"07/24/2025","100.47","102.68","102.68","98.99","85.19K","-1.23%"
"07/23/2025","101.72","102.51","102.79","101.46","50.01K","-1.09%"
"07/22/2025","102.84","103.23","104.11","102.50","78.07K","-0.38%"
"07/21/2025","103.23","101.60","105.60","101.60","80.21K","1.62%"
"07/18/2025","101.58","104.01","104.01","101.25","56.59K","-1.32%"
"07/17/2025","102.94","102.55","104.47","102.55","43.74K","-0.34%"
"07/16/2025","103.29","104.21","104.67","100.69","94.08K","-0.66%"
"07/15/2025","103.98","105.10","105.10","103.58","41.29K","-0.37%"
"07/14/2025","104.37","101.77","104.78","101.77","56.28K","1.77%"
"07/11/2025","102.55","104.00","104.86","102.23","47.34K","-1.48%"
"07/10/2025","104.09","103.31","106.08","103.00","72.92K","0.17%"
"07/09/2025","103.91","104.43","105.31","103.16","56.06K","-0.29%"
"07/08/2025","104.21","105.43","107.25","103.74","63.70K","-1.44%"
"07/07/2025","105.73","111.00","111.01","105.47","93.86K","-2.35%"
"07/04/2025","108.27","110.03","111.53","107.61","45.75K","-0.67%"
"07/03/2025","109.00","104.00","113.89","103.67","217.85K","8.51%"
"07/02/2025","100.45","95.47","100.54","95.43","95.60K","5.93%"
"06/30/2025","94.83","93.47","95.95","93.47","93.88K","1.51%"
"06/27/2025","93.42","94.96","95.61","91.80","109.42K","-1.40%"
